date,demand
2016-04-20,125204.785
2016-04-21,125514.14
2016-04-22,120124.305
2016-04-23,108773.745
2016-04-24,105642.28
2016-04-25,104072.435
2016-04-26,117437.665
2016-04-27,118531.5
2016-04-28,126847.02
2016-04-29,122054.13
2016-04-30,103505.195
2016-05-01,98873.535
2016-05-02,116969.63
2016-05-03,119014.445
2016-05-04,124525.185
2016-05-05,118192.055
2016-05-06,120421.32
2016-05-07,106052.64
2016-05-08,103487.28
2016-05-09,119781.135
2016-05-10,119611.88
2016-05-11,123616.28
2016-05-12,120693.53
2016-05-13,118800.07
2016-05-14,101945.995
2016-05-15,99697.62
2016-05-16,121182.695
2016-05-17,124209.405
2016-05-18,124352.215
2016-05-19,124392.29
2016-05-20,127705.84
2016-05-21,112336.78
2016-05-22,101618.98
2016-05-23,121424.42
2016-05-24,131916.405
2016-05-25,132170.05
2016-05-26,137080.875
2016-05-27,134317.62
2016-05-28,119938.795
2016-05-29,118751.965
2016-05-30,134983.955
2016-05-31,140402.15
2016-06-01,141195.03
2016-06-02,141292.56
2016-06-03,137717.255
2016-06-04,122764.33
2016-06-05,116052.805
2016-06-06,134829.755
2016-06-07,135306.005
2016-06-08,137305.355
2016-06-09,132859.305
2016-06-10,132209.515
2016-06-11,120753.43
2016-06-12,122771.53
2016-06-13,122106.95
2016-06-14,138466.56
2016-06-15,140904.59
2016-06-16,140741.165
2016-06-17,138023.11
2016-06-18,123162.185
2016-06-19,119662.165
2016-06-20,134435.115
2016-06-21,137511.315
2016-06-22,133813.285
2016-06-23,136740.005
2016-06-24,144658.38
2016-06-25,131730.835
2016-06-26,126455.935
2016-06-27,148639.995
2016-06-28,142146.31
2016-06-29,136071.965
2016-06-30,141078.46
2016-07-01,136676.715
2016-07-02,118683.565
2016-07-03,112556.405
2016-07-04,135712.245
2016-07-05,142401.795
2016-07-06,134056.095
2016-07-07,138768.045
2016-07-08,136690.05
2016-07-09,122369.535
2016-07-10,119218.23
2016-07-11,128207.125
2016-07-12,137582.195
2016-07-13,145728.26
2016-07-14,144103.705
2016-07-15,141166.85
2016-07-16,120659.15
2016-07-17,113418.125
2016-07-18,127367.015
2016-07-19,137028.05
2016-07-20,136850.14
2016-07-21,136127.125
2016-07-22,128777.82
2016-07-23,119888.575
2016-07-24,120126.905
2016-07-25,138134.635
2016-07-26,146465.69
2016-07-27,143209.755
2016-07-28,142341.635
2016-07-29,139822.93
2016-07-30,121548.535
2016-07-31,114481.28
2016-08-01,137934.845
2016-08-02,137301.69
2016-08-03,140922.715
2016-08-04,142671.51
2016-08-05,145491.33
2016-08-06,130907.095
2016-08-07,120379.285
2016-08-08,138506.45
2016-08-09,132819.535
2016-08-10,130616.67
2016-08-11,138368.4
2016-08-12,134885.67
2016-08-13,120382.805
2016-08-14,113066.245
2016-08-15,127906.24
2016-08-16,124975.11
2016-08-17,132561.22
2016-08-18,123434.505
2016-08-19,132569.74
2016-08-20,121052.06
2016-08-21,119118.545
2016-08-22,139203.5
2016-08-23,138640.39
2016-08-24,141122.795
2016-08-25,139724.025
2016-08-26,139920.545
2016-08-27,119573.22
2016-08-28,114832.425
2016-08-29,125055.69
2016-08-30,133748.44
2016-08-31,128834.065
2016-09-01,134246.165
2016-09-02,135273.325
2016-09-03,118621.96
2016-09-04,110986.005
2016-09-05,127275.815
2016-09-06,129542.365
2016-09-07,123307.02
2016-09-08,117722.95
2016-09-09,125432.605
2016-09-10,111412.995
2016-09-11,109125.215
2016-09-12,130967.28
2016-09-13,134720.155
2016-09-14,130650.88
2016-09-15,134234.45
2016-09-16,131734.105
2016-09-17,106709.54
2016-09-18,110314.625
2016-09-19,127391.09
2016-09-20,122664.305
2016-09-21,127208.57
2016-09-22,131357.34
2016-09-23,127420.43
2016-09-24,106776.275
2016-09-25,105931.555
2016-09-26,124343.19
2016-09-27,126888.77
2016-09-28,121143.25
2016-09-29,122858.49
2016-09-30,113439.775
2016-10-01,109181.26
2016-10-02,97992.93
2016-10-03,115839.01
2016-10-04,124089.47
2016-10-05,128558.385
2016-10-06,115898.54
2016-10-07,116197.73
2016-10-08,101300.775
2016-10-09,94954.16
2016-10-10,116831.43
2016-10-11,124665.82
2016-10-12,128612.3
2016-10-13,128242.765
2016-10-14,121731.485
2016-10-15,97887.485
2016-10-16,101793.035
2016-10-17,116042.845
